property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,signature global park 4,sector 36,0.82,7586.0,1081.0,Super Built up area 1081(100.43 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3.0,2.0,2,2.0,,New Property,1081.0,,650.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,360.3333333333333
flat,smart world gems,sector 89,0.95,8597.0,1105.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,4.0,,New Property,,,1103.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,552.5
flat,breez global hill view,sohna road,0.32,5470.0,585.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 585 sq.ft. (54.35 sq.m.),2.0,2.0,1,17.0,,New Property,,1000.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,292.5
flat,bestech park view sanskruti,sector 92,1.6,8020.0,1995.0,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3.0,4.0,3+,10.0,North-West,Relatively New,1995.0,1615.0,1476.0,0.0,1.0,0.0,0.0,1.0,1.0,174.0,665.0
flat,suncity avenue,sector 102,0.48,9023.0,532.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2.0,2.0,1,5.0,North-East,Relatively New,632.0,,532.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0,266.0
flat,paras quartier,gwal pahari,7.5,14019.0,5350.0,Super Built up area 5350(497.03 sq.m.),4.0,4.0,3+,20.0,North-East,New Property,5350.0,,,0.0,1.0,0.0,1.0,1.0,1.0,49.0,1337.5
flat,experion the heartsong,sector 108,2.0,8554.0,2338.0,Super Built up area 2338(217.21 sq.m.),3.0,3.0,3+,14.0,East,Relatively New,2338.0,,,0.0,1.0,0.0,0.0,0.0,0.0,95.0,779.3333333333334
flat,adani m2k oyster grande,sector 102,1.9,9104.0,2087.0,Super Built up area 1889(175.49 sq.m.),3.0,4.0,3,8.0,North-East,Relatively New,1889.0,,,0.0,1.0,0.0,0.0,0.0,0.0,165.0,695.6666666666666
house,independent,sector 105,1.2,10118.0,1186.0,Plot area 1185.51(110.14 sq.m.),3.0,2.0,1,2.0,North-West,Old Property,,1185.51,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,395.3333333333333
house,dlf city phase 1,sector 26,4.5,33333.0,1350.0,Plot area 150(125.42 sq.m.),3.0,3.0,2,2.0,East,Moderately Old,,1350.0,,1.0,1.0,0.0,0.0,0.0,0.0,70.0,450.0
house,independent,sector 109,1.55,6568.0,2360.0,Built Up area: 2360 (219.25 sq.m.),3.0,2.0,0,1.0,,Undefined,,2360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.6666666666666
flat,dlf regency park,sector 28,1.6,14545.0,1100.0,Carpet area: 1100 (102.19 sq.m.),2.0,2.0,2,3.0,North,Relatively New,,,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,550.0
flat,ats tourmaline,sector 109,2.25,8704.0,2585.0,Super Built up area 2585(240.15 sq.m.),3.0,4.0,3,14.0,North-East,Relatively New,2585.0,,,0.0,1.0,0.0,0.0,0.0,0.0,101.0,861.6666666666666
flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4.0,4.0,3+,3.0,North-East,Relatively New,,,1975.0,1.0,1.0,0.0,0.0,0.0,2.0,174.0,493.75
house,independent,sector 12,1.2,14184.0,846.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),2.0,4.0,2,2.0,North,Relatively New,,846.0,,0.0,0.0,0.0,1.0,0.0,1.0,7.0,423.0
flat,bestech park view sanskruti,sector 92,1.55,7568.0,2048.0,Super Built up area 1995(185.34 sq.m.),3.0,4.0,3,16.0,South,Relatively New,1995.0,,,0.0,1.0,0.0,0.0,0.0,1.0,60.0,682.6666666666666
flat,ss the leaf,sector 85,1.09,6667.0,1635.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1638 sq.ft. (152.18 sq.m.)Carpet area: 1635 sq.ft. (151.9 sq.m.),2.0,2.0,3,9.0,South-West,Relatively New,1640.0,1638.0,1635.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,817.5
flat,capital residences 360,sector 70a,1.15,11500.0,1000.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,4.0,East,New Property,1450.0,1400.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,500.0
flat,ss the leaf,sector 85,1.77,7350.0,2408.0,Super Built up area 2408(223.71 sq.m.),3.0,4.0,3+,7.0,South-West,New Property,2408.0,,,0.0,0.0,1.0,0.0,0.0,0.0,107.0,802.6666666666666
flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,661.0,Carpet area: 661 (61.41 sq.m.),2.0,2.0,1,2.0,West,Old Property,,,661.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,330.5
flat,m3m woodshire,sector 107,0.9,6589.0,1366.0,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,10.0,,Relatively New,1366.0,,,0.0,0.0,0.0,0.0,1.0,1.0,49.0,683.0
flat,godrej habitat,sector 3,1.2,8310.0,1444.0,Super Built up area 1444(134.15 sq.m.),2.0,2.0,3,0.0,,Under Construction,1444.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,722.0
