property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,36,3.0,2.0,2,1,850.0,0.0,0.0,0.0,1,1,0.82
0,95,2.0,2.0,2,1,1226.0,1.0,0.0,0.0,1,2,0.95
0,103,2.0,2.0,1,1,1000.0,0.0,0.0,0.0,1,0,0.32
0,99,3.0,4.0,4,3,1615.0,1.0,0.0,1.0,0,2,1.6
0,5,2.0,2.0,1,3,582.0,0.0,1.0,0.0,0,2,0.48
0,1,4.0,4.0,4,1,4842.0,1.0,0.0,1.0,1,0,7.5
0,11,3.0,3.0,4,3,2116.0,1.0,0.0,0.0,2,0,2.0
0,5,3.0,4.0,3,3,1710.0,1.0,0.0,0.0,0,2,1.9
1,8,3.0,2.0,1,2,1185.51,0.0,0.0,0.0,1,1,1.2
1,29,3.0,3.0,2,0,1350.0,1.0,0.0,0.0,2,1,4.5
1,12,3.0,2.0,0,3,2360.0,0.0,0.0,0.0,1,1,1.55
0,31,2.0,2.0,2,3,1222.0,0.0,0.0,0.0,2,2,1.6
0,12,3.0,4.0,3,3,2339.0,1.0,0.0,0.0,2,0,2.25
0,67,4.0,4.0,4,3,2194.0,1.0,0.0,2.0,0,2,2.77
1,18,2.0,4.0,2,3,846.0,0.0,0.0,1.0,1,1,1.2
0,99,3.0,4.0,3,3,1805.0,1.0,0.0,1.0,2,0,1.55
0,91,2.0,2.0,3,3,1638.0,0.0,1.0,0.0,0,2,1.09
0,75,2.0,2.0,3,1,1400.0,0.0,0.0,0.0,2,2,1.15
0,91,3.0,4.0,4,1,2179.0,0.0,1.0,0.0,2,2,1.77
0,33,2.0,2.0,1,2,734.0,0.0,0.0,1.0,1,1,0.85
0,10,2.0,2.0,4,3,1236.0,0.0,0.0,1.0,1,2,0.9
0,32,2.0,2.0,3,4,1307.0,0.0,0.0,0.0,2,1,1.2
0,23,1.0,1.0,1,0,665.0,0.0,0.0,1.0,2,2,0.6
1,43,8.0,5.0,4,2,3240.0,1.0,1.0,1.0,1,2,9.0
1,43,7.0,7.0,4,0,2475.0,1.0,1.0,2.0,0,2,7.0
0,31,4.0,2.0,4,2,1382.0,0.0,0.0,0.0,1,1,0.9
1,41,1.0,1.0,0,0,450.0,0.0,0.0,0.0,1,1,0.4
1,12,4.0,4.0,4,1,5400.0,1.0,0.0,1.0,1,1,5.65
0,64,2.0,2.0,3,4,1676.0,0.0,0.0,0.0,2,0,2.15
1,49,6.0,6.0,3,0,2880.0,1.0,1.0,2.0,2,2,4.4
0,86,2.0,2.0,3,3,1361.0,0.0,0.0,1.0,2,0,0.64
0,67,3.0,3.0,3,4,2267.0,1.0,0.0,0.0,1,0,2.86
0,68,3.0,3.0,3,0,2125.0,1.0,1.0,1.0,2,2,3.5
1,95,2.0,2.0,2,1,1297.0,0.0,0.0,0.0,1,0,0.7
0,92,3.0,3.0,4,3,1780.0,1.0,0.0,0.0,0,0,1.54
1,48,4.0,4.0,4,3,2160.0,1.0,1.0,1.0,0,2,8.25
1,12,5.0,6.0,4,0,2430.0,1.0,0.0,0.0,1,1,6.1
0,52,4.0,4.0,3,3,2300.0,0.0,0.0,0.0,2,1,2.1
0,37,3.0,3.0,3,3,1563.0,0.0,0.0,0.0,1,1,1.25
0,15,2.0,2.0,2,3,773.0,0.0,0.0,0.0,2,2,0.7
0,69,3.0,3.0,3,0,2047.0,1.0,0.0,2.0,1,2,2.8
1,31,4.0,3.0,3,2,1800.0,0.0,0.0,1.0,1,1,5.5
