property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 36,0.82,3.0,2.0,2,New Property,850.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 89,0.95,2.0,2.0,2,New Property,1226.0,1.0,0.0,0.0,Low,Mid Floor
flat,sohna road,0.32,2.0,2.0,1,New Property,1000.0,0.0,0.0,0.0,Low,High Floor
flat,sector 92,1.6,3.0,4.0,3+,Relatively New,1615.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 102,0.48,2.0,2.0,1,Relatively New,582.0,0.0,1.0,0.0,High,Mid Floor
flat,gwal pahari,7.5,4.0,4.0,3+,New Property,4842.0,1.0,0.0,1.0,Low,High Floor
flat,sector 108,2.0,3.0,3.0,3+,Relatively New,2116.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 102,1.9,3.0,4.0,3,Relatively New,1710.0,1.0,0.0,0.0,High,Mid Floor
house,sector 105,1.2,3.0,2.0,1,Old Property,1185.51,0.0,0.0,0.0,Low,Low Floor
house,sector 26,4.5,3.0,3.0,2,Moderately Old,1350.0,1.0,0.0,0.0,Medium,Low Floor
house,sector 109,1.55,3.0,2.0,0,Relatively New,2360.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 28,1.6,2.0,2.0,2,Relatively New,1222.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 109,2.25,3.0,4.0,3,Relatively New,2339.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 65,2.77,4.0,4.0,3+,Relatively New,2194.0,1.0,0.0,2.0,High,Mid Floor
house,sector 12,1.2,2.0,4.0,2,Relatively New,846.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 92,1.55,3.0,4.0,3,Relatively New,1805.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 85,1.09,2.0,2.0,3,Relatively New,1638.0,0.0,1.0,0.0,High,Mid Floor
flat,sector 70a,1.15,2.0,2.0,3,New Property,1400.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 85,1.77,3.0,4.0,3+,New Property,2179.0,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 30,0.85,2.0,2.0,1,Old Property,734.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 107,0.9,2.0,2.0,3+,Relatively New,1236.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 3,1.2,2.0,2.0,3,Under Construction,1307.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 2,0.6,1.0,1.0,1,Moderately Old,665.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 41,9.0,8.0,5.0,3+,Old Property,3240.0,1.0,1.0,1.0,Low,Mid Floor
house,sector 41,7.0,7.0,7.0,3+,Moderately Old,2475.0,1.0,1.0,2.0,High,Mid Floor
flat,sector 28,0.9,4.0,2.0,3+,Old Property,1382.0,0.0,0.0,0.0,Low,Low Floor
house,sector 4,0.4,1.0,1.0,0,Moderately Old,450.0,0.0,0.0,0.0,Low,Low Floor
house,sector 109,5.65,4.0,4.0,3+,New Property,5400.0,1.0,0.0,1.0,Low,Low Floor
flat,sector 62,2.15,2.0,2.0,3,Under Construction,1676.0,0.0,0.0,0.0,Medium,High Floor
house,sector 49,4.4,6.0,6.0,3,Moderately Old,2880.0,1.0,1.0,2.0,Medium,Mid Floor
flat,sector 81,0.64,2.0,2.0,3,Relatively New,1361.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 65,2.86,3.0,3.0,3,Under Construction,2267.0,1.0,0.0,0.0,Low,High Floor
flat,sector 66,3.5,3.0,3.0,3,Moderately Old,2125.0,1.0,1.0,1.0,Medium,Mid Floor
house,sector 89,0.7,2.0,2.0,2,New Property,1297.0,0.0,0.0,0.0,Low,High Floor
flat,sector 86,1.54,3.0,3.0,3+,Relatively New,1780.0,1.0,0.0,0.0,High,High Floor
house,sector 48,8.25,4.0,4.0,3+,Relatively New,2160.0,1.0,1.0,1.0,High,Mid Floor
house,sector 109,6.1,5.0,6.0,3+,Moderately Old,2430.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 51,2.1,4.0,4.0,3,Relatively New,2300.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1563.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 111,0.7,2.0,2.0,2,Relatively New,773.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 67,2.8,3.0,3.0,3,Moderately Old,2047.0,1.0,0.0,2.0,Low,Mid Floor
house,sector 28,5.5,4.0,3.0,3,Old Property,1800.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 111,2.58,3.0,4.0,2,Moderately Old,2200.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 113,3.0,3.0,3.0,3+,Relatively New,2460.0,1.0,0.0,0.0,High,Mid Floor
house,sector 13,1.25,3.0,6.0,2,Old Property,115.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 61,2.1,3.0,2.0,3,Under Construction,1534.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 113,2.45,3.0,3.0,3,Relatively New,2014.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.38,3.0,3.0,1,Relatively New,1709.0,0.0,0.0,0.0,High,High Floor
flat,sector 89,1.71,3.0,2.0,0,New Property,1423.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 67a,1.85,3.0,4.0,3,New Property,1941.0,0.0,1.0,1.0,High,Mid Floor
flat,sector 37d,0.6,2.0,2.0,3,New Property,625.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 82,0.81,2.0,2.0,2,Relatively New,1176.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 53,5.6,3.0,3.0,3+,Under Construction,2617.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 74,1.5,2.0,2.0,3,Relatively New,1300.0,0.0,1.0,0.0,High,High Floor
flat,sector 37d,1.45,3.0,3.0,3,Relatively New,1639.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 108,1.65,3.0,4.0,3,Moderately Old,1771.32,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 52,0.45,1.0,1.0,0,Moderately Old,513.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 12,0.35,2.0,2.0,1,Moderately Old,737.0,0.0,0.0,0.0,Low,Low Floor
house,sector 43,5.75,4.0,4.0,2,Under Construction,2430.0,1.0,1.0,2.0,High,Mid Floor
flat,sector 85,1.12,2.0,2.0,3,Relatively New,1485.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 36,0.75,2.0,2.0,2,Relatively New,856.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 89,0.25,1.0,1.0,1,New Property,430.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 4,0.67,3.0,2.0,1,Moderately Old,783.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 2,0.56,1.0,1.0,2,Moderately Old,723.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 70a,1.75,3.0,4.0,3+,Relatively New,1706.0,0.0,0.0,2.0,Low,High Floor
house,sector 14,4.15,5.0,4.0,2,Old Property,2250.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 67,3.4,3.0,4.0,3,Relatively New,2134.0,1.0,0.0,1.0,High,High Floor
flat,sector 81,2.3,3.0,3.0,3+,Relatively New,1617.0,1.0,0.0,2.0,Low,High Floor
house,sector 25,7.6,2.0,9.0,3,Relatively New,1961.0,0.0,1.0,1.0,Medium,Mid Floor
flat,sector 95,0.32,2.0,2.0,1,Relatively New,610.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 102,0.45,1.0,1.0,2,Relatively New,750.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 56,2.99,4.0,4.0,2,Moderately Old,1449.0,1.0,0.0,1.0,Low,Low Floor
flat,sector 109,1.5,3.0,4.0,3+,Relatively New,1797.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 41,2.65,3.0,3.0,3,New Property,1400.0,1.0,0.0,1.0,Low,Mid Floor
house,sector 3,1.5,7.0,2.0,0,Moderately Old,1980.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1719.0,0.0,0.0,0.0,Low,High Floor
flat,sector 48,9.3,4.0,4.0,3+,Moderately Old,3831.0,1.0,1.0,1.0,Medium,Mid Floor
flat,sector 83,1.19,2.0,2.0,3,Relatively New,1630.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 107,0.5,3.0,2.0,2,Relatively New,850.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 104,1.4,3.0,2.0,2,Under Construction,1120.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 88a,1.0,2.0,2.0,3,Relatively New,1611.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,1.3,3.0,3.0,3+,Relatively New,1509.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 85,0.9,3.0,3.0,2,Relatively New,1402.0,0.0,0.0,0.0,Medium,High Floor
house,sector 105,0.5,2.0,2.0,0,Moderately Old,100.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 83,1.15,3.0,3.0,2,Relatively New,1350.0,1.0,1.0,1.0,High,Mid Floor
flat,sector 69,1.36,3.0,3.0,2,Relatively New,1428.0,0.0,0.0,1.0,Low,High Floor
flat,sector 102,1.4,2.0,2.0,3,Relatively New,1286.0,0.0,0.0,0.0,Medium,Low Floor
house,sector 55,2.8,4.0,4.0,0,Old Property,1500.0,0.0,0.0,0.0,Low,Low Floor
house,sector 50,10.45,5.0,7.0,3+,Moderately Old,3240.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 84,0.34,2.0,2.0,1,Relatively New,537.0,0.0,1.0,1.0,Medium,Low Floor
