Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Reliance Industr,2502.20,1692851.31,1625924.00,1167.78,841761.00,64277.73,345113.00,1062412.00,9.42,8.16,4.66,0.40,346294.00,110654.00,13646.00,0.00,23.58,15.46,7.12,14.01,17.77,29797.00,14584.00
TCS,3228.35,1181269.85,148173.00,266.34,207543.00,39604.00,43118.00,98828.00,54.87,43.64,28.37,0.08,164780.00,39949.00,36985.00,0.00,13.05,26.60,9.40,6.84,13.37,4604.00,784.00
HDFC Bank,1597.65,890970.33,2122934.30,445.99,148365.81,41738.79,449263.86,155666.15,5.83,16.63,1.94,7.22,-32009.37,-11959.57,-14175.90,0.00,32.14,59.29,8.93,19.42,7.41,1680.73,58584.33
Infosys,1497.10,629991.78,127231.00,190.08,135151.00,22876.00,24448.00,66212.00,37.09,28.98,19.64,0.08,92171.00,23885.00,21724.00,0.00,36.20,24.41,13.74,12.88,26.85,3476.00,200.00
Hind. Unilever,2621.10,615851.37,71936.00,211.10,56974.00,9688.61,3538.00,57781.00,24.34,18.43,12.82,0.02,37693.00,9048.00,7995.00,0.00,14.05,23.85,10.09,12.82,10.43,1091.00,106.00
ICICI Bank,878.90,613157.11,1752637.38,261.61,104322.80,29647.01,567097.72,174474.71,5.59,14.80,1.60,6.89,343745.46,58111.43,56368.90,0.00,44.77,20.71,9.85,80.70,17.55,1330.01,41166.67
St Bk of India,574.00,512272.71,5360877.84,342.41,309227.34,41181.24,1776489.90,540608.70,4.44,12.18,0.73,14.85,104590.41,57694.85,54643.93,0.00,9.95,36.04,4.61,153.78,20.09,3691.27,156194.34
H D F C,2623.05,478516.72,1013742.18,1016.16,133444.70,24157.59,126709.71,15431.39,8.60,13.45,2.68,2.92,-200334.80,-44027.92,-46157.85,0.00,67.77,38.04,12.41,11.66,2.82,418.92,27230.35
Bharti Airtel,808.65,467313.83,424388.60,130.95,128698.30,6215.76,29650.50,271545.80,11.97,5.86,2.04,2.99,171274.30,55016.60,28995.80,0.00,21.87,50.40,13.00,156.29,21.69,33090.70,16616.20
Life Insurance,658.75,416659.22,4230589.77,16.46,770021.15,19241.84,3926044.27,123425.26,142.46,48.22,0.10,0.00,215136.24,-3135.49,-3592.62,0.00,0.18,-6.22,8.75,14.57,,433.36,0.00
Adani Enterp.,3642.20,415211.21,123091.28,276.77,122642.87,1207.16,4830.92,67724.80,7.28,4.12,1.03,1.31,14060.46,1385.28,-10260.33,0.00,15.59,4.60,19.80,9.42,159.20,1247.78,2525.88
ITC,326.70,405510.14,82156.88,52.93,69261.13,17261.95,24834.36,53046.62,33.64,24.76,20.48,0.00,68744.95,15775.51,13766.97,0.00,42.68,33.98,7.85,6.30,11.02,1732.41,59.99
Bajaj Finance,6374.60,385936.92,235722.54,793.54,36408.47,9921.70,14524.75,3087.90,10.27,17.48,3.67,3.81,-111874.71,-37028.62,-37643.65,0.00,20.49,67.36,19.61,20.85,15.48,384.57,9847.68
Kotak Mah. Bank,1821.95,361854.87,546497.90,486.90,36622.63,13658.13,164529.41,43436.41,6.29,13.27,2.35,3.76,51347.92,8417.99,7784.66,0.00,40.92,18.04,4.19,18.85,2.11,480.35,11553.29
Adani Total Gas,3232.60,355524.61,5067.68,24.36,4053.14,484.55,669.88,3249.82,24.60,23.02,13.19,0.45,2514.58,735.72,-214.65,0.00,17.44,19.23,20.90,28.19,174.06,82.73,52.73
Asian Paints,3057.90,293313.09,24241.53,147.03,33484.42,3763.32,3083.45,14647.30,29.73,23.15,14.48,0.13,12290.97,986.49,487.83,0.00,18.56,17.23,14.79,12.80,19.24,816.36,95.41
Larsen & Toubro,2062.75,289891.49,322794.21,582.38,171029.40,9606.47,38991.89,151337.74,10.96,10.25,3.12,1.58,34144.43,19163.58,16123.70,0.00,22.12,12.49,5.00,-2.09,16.61,2947.95,9234.98
