match_no,runs
1,1
2,23
3,13
4,12
5,1
6,9
7,34
8,0
9,21
10,3
11,10
12,38
13,3
14,11
15,50
16,2
17,22
18,19
19,16
20,15
21,20
22,38
23,19
24,24
25,7
26,2
27,16
28,17
29,24
30,38
31,34
32,42
33,13
34,58
35,3
36,14
37,37
38,9
39,23
40,12
41,71
42,35
43,30
44,56
45,67
46,27
47,27
48,39
49,15
50,11
51,31
52,70
53,8
54,35
55,8
56,6
57,57
58,22
59,16
60,4
61,16
62,18
63,45
64,9
65,36
66,9
67,3
68,73
69,42
70,24
71,51
72,35
73,58
74,65
75,1
76,11
77,1
78,32
79,25
80,57
81,93
82,99
83,17
84,14
85,56
86,49
87,0
88,31
89,21
90,4
91,0
92,35
93,0
94,4
95,10
96,27
97,67
98,38
99,73
100,13
101,41
102,18
103,51
104,62
105,35
106,1
107,34
108,48
109,32
110,82
111,19
112,44
113,1
114,12
115,12
116,75
117,79
118,33
119,80
120,100
121,14
122,52
123,108
124,20
125,7
126,109
127,75
128,113
129,54
130,0
131,54
132,62
133,28
134,64
135,0
136,10
137,55
138,20
139,6
140,5
141,58
142,31
143,21
144,57
145,92
146,30
147,18
148,68
149,32
150,8
151,39
152,70
153,48
154,12
155,4
156,6
157,46
158,3
159,23
160,84
161,41
162,67
163,8
164,100
165,9
166,13
167,23
168,25
169,16
170,18
171,9
172,7
173,29
174,1
175,72
176,43
177,43
178,90
179,48
180,14
181,33
182,50
183,8
184,6
185,33
186,33
187,5
188,72
189,8
190,12
191,35
192,5
193,25
194,5
195,4
196,25
197,51
198,53
199,39
200,41
201,12
202,5
203,48
204,1
205,12
206,0
207,0
208,9
209,58
210,30
211,0
212,20
213,73
214,25
215,7
