,title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
5,Soni (film),tt6078866,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Soni_India_Netflix_Movie_Poster.jpg/220px-Soni_India_Netflix_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Soni_(film),Soni,Soni,0,2018,97,Drama,7.2,1595,Soni  a young policewoman in Delhi  and her superintendent  Kalpana  have collectively taken on a growing crisis of violent crimes against women. However  their alliance suffers a major setback when Soni is transferred out for alleged misconduct on duty.,While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.,,Geetika Vidya Ohlyan|Saloni Batra|Vikas Shukla|Mohit Chauhan|Himanshu Kohli|Gauri Chakraborty|Mohinder Gujral|Upasya Goswami|Simrat Kaur|Dimple Kaur|Prateek Pachori|Kalpana Jha|Samar|,3 wins & 5 nominations,18 January 2019 (USA)
35,Khamoshi (2019 film),tt8268972,https://upload.wikimedia.org/wikipedia/en/e/ef/Khamoshi_2019.jpg,https://en.wikipedia.org/wiki/Khamoshi_(2019_film),Khamoshi,Khamoshi,0,2019,96,Horror|Thriller,3.7,153,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,,Prabhu Deva|Tamannaah Bhatia|Bhoomika Chawla|,,14 June 2019 (India)
36,Kabir Singh,tt8983202,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Kabir_Singh.jpg/220px-Kabir_Singh.jpg,https://en.wikipedia.org/wiki/Kabir_Singh,Kabir Singh,Kabir Singh,0,2019,173,Drama|Romance,7.2,20535,This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,,Shahid Kapoor|Kiara Advani|Soham Majumdar|Arjan Bajwa|Suresh Oberoi|Kamini Kaushal|Adil Hussain|Nikita Dutta|Amit Sharma|Anurag Arora|Dolly Mattoo|Aanchal Chauhan|Suparna Marwah|Swati Seth|,,20 June 2019 (USA)
39,Hume Tumse Pyaar Kitna,tt6862542,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Hume_Tumse_Pyaar_Kitna.jpg/220px-Hume_Tumse_Pyaar_Kitna.jpg,https://en.wikipedia.org/wiki/Hume_Tumse_Pyaar_Kitna,Hume Tumse Pyaar Kitna,Hume Tumse Pyaar Kitna,0,2019,91,Action|Drama|Romance,7.4,85,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,,Karanvir Bohra|Priya Banerjee|,,5 July 2019 (India)
48,Pranaam,tt7228072,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Pranaam_poster.jpg/220px-Pranaam_poster.jpg,https://en.wikipedia.org/wiki/Pranaam,Pranaam,Pranaam,0,2019,\N,Action|Crime|Drama,7.0,43,A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.,A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.,,Rajeev Khandelwal|Atul Kulkarni|Abhimanyu Singh|Sameksha|Vikram Gokhale|Aniruddh Dave|Apoorva Arora|S.M. Zaheer|,,
60,Yaaram (2019 film),tt11007050,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg,https://en.wikipedia.org/wiki/Yaaram_(2019_film),#Yaaram,#Yaaram,0,2019,\N,Comedy|Romance,5.7,7,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for him to remarry her. This twisted tale of love turns into a sour dose of betrayal - all this and more  in the name of friendship.,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                    ,,Siddhanth Kapoor|Prateik|Anita Raj|Ishita Raj|Subha Rajput|Natasha Stankovic|,,
82,My Birthday Song,tt4335954,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/My_Birthday_Song_-_Poster.jpg/220px-My_Birthday_Song_-_Poster.jpg,https://en.wikipedia.org/wiki/My_Birthday_Song,My Birthday Song,My Birthday Song,0,2018,95,Thriller,5.5,215,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,,Nora Fatehi|Elena Kazan|Suparna Krishna|Pitobash|Sameer Sharma|Zenia Starr|,,19 January 2018 (India)
105,Omerta (film),tt6978268,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Omerta_film.jpg/220px-Omerta_film.jpg,https://en.wikipedia.org/wiki/Omerta_(film),Omerta,Omerta,0,2017,98,Action|Biography|Crime,7.0,660,A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.,A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.,A Brief History of Terrorism,Rajkummar Rao|Rajesh Tailang|Satwant Kaur|,2 nominations,4 May 2018 (India)
107,Hope Aur Hum,tt8324474,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Hope_Aur_Hum_-_Poster.jpg/220px-Hope_Aur_Hum_-_Poster.jpg,https://en.wikipedia.org/wiki/Hope_Aur_Hum,Hope Aur Hum,Hope Aur Hum,0,2018,96,Comedy|Drama|Family,6.4,289,A father obsessed with an old school copying machine wreaks havoc on the family  causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.,A father obsessed with an old school copying machine wreaks havoc on the family  causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.,,Naseeruddin Shah|Kabir Sajid|Virti Vaghani|Sonali Kulkarni|Aamir Bashir|Naveen Kasturia|Beena Banerjee|Neha Chauhan|Tina Sood|Pawan Mahendru|Purushotam Mulani|Deepak Kripalani|Abhishek G. Dixit|Santosh Patil|,,11 May 2018 (India)
111,Bioscopewala,tt8223250,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Bioscopewala_-_Poster.jpg/220px-Bioscopewala_-_Poster.jpg,https://en.wikipedia.org/wiki/Bioscopewala,Bioscopewala,Bioscopewala,0,2018,91,Drama,7.7,718,Bioscopewala is an extrapolation of Rabindranath Tagore's Kabuliwala. It extends the story from where Tagore's Kabuliwala ends. In this extrapolation  Kabuliwala shows films to children in Kolkata and misses his daughter in Kabul ravaged by civil war. Will he meet his daughter again? Will their story find a completion this time? Bioscopewala stars legendary actor Danny Denzongpa  Geetanjali Thapa  Tisca Chopra and Adil Hussain. Kabuliwala is a Bengali short story written by Rabindranath Tagore in 1892. The story is of a Pashtun merchant from Kabul  who comes to Calcutta (present day Kolkata)  India each year for selling dry-fruits and while living in India he becomes friends with a five-year-old girl Mini from a middle-class aristocratic family as she reminds him of his daughter who lives in Kabul. Presented by Fox Star Studios in association with Star India  Bioscopewala is Produced by Sunil Doshi and Directed by Deb Medhekar and will release in theaters on 25th May 2018.,A woman meets her dead father's old friend  who was the operator of a Bioscope show that she loved in her childhood. Connecting India and Afghanistan  a story of love and cinema unfolds.,,Danny Denzongpa|Geetanjali Thapa|Adil Hussain|Tisca Chopra|Brijendra Kala|Ekavali Khanna|Maya Sarao|Miraya Suri|Prisha Dabbas|Sahra Khan Sahibi|Simon Frenay|Shashi Bhushan|Subroto Sarkar|Sumit Sarkar|,,25 May 2018 (India)
148,5 Weddings,tt1971310,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/5_Weddings_Poster.jpg/220px-5_Weddings_Poster.jpg,https://en.wikipedia.org/wiki/5_Weddings,5 Weddings,5 Weddings,0,2018,90,Comedy|Drama|Romance,3.2,316,An American journalist travels to India for what she thinks will be an easy magazine feature on Bollywood weddings  only to have the assignment interrupted by a cop  who is convinced there is journalistic espionage behind the innocent magazine article. As the coverage of Bollywood weddings unfolds  so does a colorful mosaic of lost loves  transgender tangles and culture clashes along the heartfelt journey of life  symbolized by the universal ups and downs of a wedding celebration.,An American journalist travels to India to cover Bollywood weddings  only to uncover a mosaic of cultural clashes  transgender tangles and lost loves with her travels culminating at a destination where the only journey is the one within.,The Only Journey Is The One Within...,Nargis Fakhri|Rajkummar Rao|Bo Derek|Candy Clark|Anneliese van der Pol|Suvinder Vicky|Mariana Paola Vicente|Saru Maini|Robert Palmer Watkins|Dawn Richard|,,26 October 2018 (USA)
151,The Journey of Karma,tt9070934,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/The_Journey_of_Karma_Poster.jpg/220px-The_Journey_of_Karma_Poster.jpg,https://en.wikipedia.org/wiki/The_Journey_of_Karma,The Journey of Karma,The Journey of Karma,0,2018,98,Drama,6.3,50,Its a story of a slum girl who is brilliant in studies and tries to chase her dreams to work in America. She travels through her journey full of twist n turns  surprises  lust with a mysterious old man.,Its a story of a slum girl who is brilliant in studies and tries to chase her dreams to work in America. She travels through her journey full of twist n turns  surprises  lust with a mysterious old man.,,Shakti Kapoor|Poonam Pandey|,,26 October 2018 (India)
