batter,batsman_run
A Ashish Reddy,280
A Badoni,161
A Chandila,4
A Chopra,53
A Choudhary,25
A Dananjaya,4
A Flintoff,62
A Kumble,35
A Manohar,108
A Mishra,362
A Mithun,34
A Mukund,19
A Nehra,41
A Nortje,8
A Singh,2
A Symonds,974
A Tomar,4
A Uniyal,4
A Zampa,5
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,5181
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Hales,148
AD Mascarenhas,79
AD Mathews,724
AD Nath,90
AD Russell,2039
AF Milne,23
AG Murtaza,10
AG Paunikar,49
AJ Finch,2092
AJ Turner,3
AJ Tye,91
AK Markram,527
AL Menaria,401
AM Nayar,672
AM Rahane,4074
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,1135
AS Joseph,20
AS Rajpoot,26
AS Raut,194
AS Roy,0
AS Yadav,49
AT Carey,32
AT Rayudu,4190
AUK Pathan,39
Abdul Samad,228
Abdur Razzak,0
Abhishek Sharma,667
Akash Deep,0
Aman Hakim Khan,5
Anirudh Singh,63
Ankit Sharma,87
Ankit Soni,7
Anmolpreet Singh,29
Anuj Rawat,129
Anureet Singh,36
Arshdeep Singh,23
Avesh Khan,31
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Indrajith,21
B Kumar,241
B Laughlin,5
B Lee,124
B Sai Sudharsan,145
B Stanlake,5
B Sumanth,35
BA Bhatt,6
BA Stokes,920
BAW Mendis,3
BB McCullum,2882
BB Samantray,125
BB Sran,10
BCJ Cutting,238
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
Basil Thampi,32
Bipul Sharma,187
C Madan,15
C Munro,177
C Nanda,0
C Sakariya,16
C de Grandhomme,303
CA Ingram,205
CA Lynn,1329
CA Pujara,390
CH Gayle,4997
CH Morris,618
CJ Anderson,538
CJ Ferguson,98
CJ Jordan,75
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,181
CR Woakes,78
CRD Fernando,4
CV Varun,24
D Brevis,161
D Kalyankrishna,3
D Padikkal,1260
D Pretorius,44
D Salunkhe,33
D Wiese,127
D du Preez,10
DA Miller,2455
DA Warner,5883
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1560
DJ Harris,111
DJ Hooda,1237
DJ Hussey,1322
DJ Jacobs,92
DJ Malan,26
DJ Mitchell,33
DJ Muthuswami,1
DJ Thornely,39
DJ Willey,18
DJG Sammy,295
DJM Short,115
DL Chahar,79
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Conway,252
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Sams,44
DR Shorey,13
DR Smith,2385
DS Kulkarni,104
DS Lehmann,18
DT Christian,460
DT Patil,13
DW Steyn,167
E Lewis,654
EJG Morgan,1406
ER Dwivedi,24
F Behardien,14
F du Plessis,3403
FA Allen,14
FH Edwards,4
FY Fazal,183
Fazalhaq Farooqi,2
G Gambhir,4217
GB Hogg,22
GC Smith,739
GC Viljoen,3
GD McGrath,4
GD Phillips,26
GH Vihari,284
GHS Garton,2
GJ Bailey,663
GJ Maxwell,2320
GR Napier,15
