movie,lead
Uri: The Surgical Strike,Vicky Kaushal
Battalion 609,Vicky Ahuja
The Accidental Prime Minister (film),Anupam Kher
Why Cheat India,Emraan Hashmi
Evening Shadows,Mona Ambegaonkar
Soni (film),Geetika Vidya Ohlyan
Fraud Saiyaan,Arshad Warsi
Bombairiya,Radhika Apte
Manikarnika: The Queen of Jhansi,Kangana Ranaut
Thackeray (film),Nawazuddin Siddiqui
Amavas,Ali Asgar
Gully Boy,Ranveer Singh
Hum Chaar,Prit Kamani
Total Dhamaal,Ajay Devgn
Sonchiriya,Sushant Singh Rajput
Badla (2019 film),Amitabh Bachchan
Mard Ko Dard Nahi Hota,Abhimanyu Dasani
Hamid (film),Talha Arshad Reshi
Photograph (film),Nawazuddin Siddiqui
Risknamaa,Garima Agarwal
Mere Pyare Prime Minister,Rasika Agashe
22 Yards,Barun Sobti
Kesari (film),Akshay Kumar
Notebook (2019 film),Zaheer Iqbal
Junglee (2019 film),Vidyut Jammwal
Gone Kesh,Deepika Amin
Albert Pinto Ko Gussa Kyun Aata Hai?,Manav Kaul
The Tashkent Files,Naseeruddin Shah
Kalank,Varun Dhawan
Setters (film),Shreyas Talpade
Student of the Year 2,Tiger Shroff
PM Narendra Modi,Boman Irani
De De Pyaar De,Ajay Devgn
India's Most Wanted (film),Arjun Kapoor
Yeh Hai India,Gavie Chahal
Khamoshi (2019 film),Prabhu Deva
Kabir Singh,Shahid Kapoor
Article 15 (film),Ayushmann Khurrana
One Day: Justice Delivered,Anupam Kher
Hume Tumse Pyaar Kitna,Karanvir Bohra
Super 30 (film),Hrithik Roshan
Family of Thakurganj,Jimmy Sheirgill
Batla House,John Abraham
Jhootha Kahin Ka,Rishi Kapoor
Judgementall Hai Kya,Kangana Ranaut
Chicken Curry Law,Natalia Janoszek
Arjun Patiala,Diljit Dosanjh
Jabariya Jodi,Sidharth Malhotra
Pranaam,Rajeev Khandelwal
The Sky Is Pink,Zaira Wasim
Mission Mangal,Akshay Kumar
Saaho,Jacqueline Fernandez
Dream Girl (2019 film),Ayushmann Khurrana
Section 375,Akshaye Khanna
The Zoya Factor (film),Sonam Kapoor
Pal Pal Dil Ke Paas,Karan Deol
Prassthanam,Sanjay Dutt
P Se Pyaar F Se Faraar,Bhavesh Kumar
Ghost (2019 film),Sanaya Irani
Bala (2019 film),Ayushmann Khurrana
Yaaram (2019 film),Siddhanth Kapoor
Housefull 4,Akshay Kumar
Saand Ki Aankh,Taapsee Pannu
Made in China (2019 film),Rajkummar Rao
Ujda Chaman,Sunny Singh Nijjar
Bypass Road (film),Neil Nitin Mukesh
Satellite Shankar,Suraj Pancholi
Jhalki,Boman Irani
Marjaavaan,Riteish Deshmukh
Motichoor Chaknachoor,Nawazuddin Siddiqui
Keep Safe Distance (film),Shahbaaz Khan
Pagalpanti (2019 film),Kriti Kharbanda
Ramprasad Ki Tehrvi,Naseeruddin Shah
Yeh Saali Aashiqui,Vardhan Puri
Dil Bechara,Sushant Singh Rajput
Pati Patni Aur Woh (2019 film),Kartik Aaryan
Commando 3 (film),Vidyut Jammwal
Mardaani 2,Rani Mukerji
Dabangg 3,Salman Khan
Good Newwz,Akshay Kumar
