,agePossession
1 to 5 Year Old,1676
5 to 10 Year Old,575
0 to 1 Year Old,530
undefined,332
10+ Year Old,310
Under Construction,90
Within 6 months,70
Within 3 months,26
2023-12-01 00:00:00,20
By 2023,19
By 2024,17
2024-12-01 00:00:00,15
2024-03-01 00:00:00,14
2024-01-01 00:00:00,7
2025-12-01 00:00:00,7
2023-08-01 00:00:00,7
2024-10-01 00:00:00,7
2024-06-01 00:00:00,5
2023-11-01 00:00:00,5
2024-07-01 00:00:00,4
By 2025,4
2024-08-01 00:00:00,4
2023-09-01 00:00:00,4
2023-10-01 00:00:00,3
2025-01-01 00:00:00,3
2024-11-01 00:00:00,3
2024-02-01 00:00:00,3
2024-05-01 00:00:00,3
2025-07-01 00:00:00,2
2027-07-01 00:00:00,2
By 2027,2
Jun 2024,2
2026-01-01 00:00:00,2
2026-04-01 00:00:00,2
2027-06-01 00:00:00,2
2025-09-01 00:00:00,2
2025-08-01 00:00:00,2
2025-10-01 00:00:00,2
Dec 2023,2
2026-12-01 00:00:00,2
2025-03-01 00:00:00,2
Dec 2024,1
Jan 2024,1
Oct 2024,1
2026-08-01 00:00:00,1
2028-01-01 00:00:00,1
2025-11-01 00:00:00,1
2026-03-01 00:00:00,1
2027-09-01 00:00:00,1
2027-01-01 00:00:00,1
2026-07-01 00:00:00,1
Oct 2023,1
2025-06-01 00:00:00,1
2024-04-01 00:00:00,1
